Model,Filter,Class,Precision,Recall,F1-score,Support
resnet101,Gaussian,mel,0.632,0.733,0.679,75
resnet101,Gaussian,nv,0.763,0.773,0.768,75
resnet101,Gaussian,vasc,0.952,0.952,0.952,21
resnet101,Median,akiec,0.739,0.694,0.716,49
resnet101,Median,bcc,0.813,0.813,0.813,75
resnet101,Median,bkl,0.596,0.787,0.678,75
resnet101,Median,df,0.917,0.611,0.733,18
resnet101,Median,mel,0.746,0.627,0.681,75
resnet101,Median,nv,0.795,0.773,0.784,75
resnet101,Median,vasc,0.95,0.905,0.927,21
resnet101,Sharpening,akiec,0.775,0.633,0.697,49
resnet101,Sharpening,bcc,0.783,0.867,0.823,75
resnet101,Sharpening,bkl,0.667,0.773,0.716,75
resnet101,Sharpening,df,0.625,0.556,0.588,18
resnet101,Sharpening,mel,0.767,0.613,0.681,75
resnet101,Sharpening,nv,0.747,0.827,0.785,75
resnet101,Sharpening,vasc,0.947,0.857,0.9,21
resnet101,Sobel,akiec,0.372,0.327,0.348,49
resnet101,Sobel,bcc,0.616,0.707,0.658,75
resnet101,Sobel,bkl,0.379,0.52,0.438,75
resnet101,Sobel,df,0.294,0.278,0.286,18
resnet101,Sobel,mel,0.6,0.36,0.45,75
resnet101,Sobel,nv,0.59,0.653,0.62,75
resnet101,Sobel,vasc,0.909,0.476,0.625,21
