Model / Classifier,Accuracy Raw (new Lab 03 run),Accuracy Filtered (new Lab 03 run),Accuracy Edge (new Lab 03 run),Precision (macro; Edge),Recall (macro; Edge),F1-score (macro; Edge),Training Time (s; Edge),Inference Time (ms/image; Edge)
SVM,0.42010309278350516,0.41494845360824745,0.21391752577319587,0.20056322490930137,0.18491613494960765,0.16529355366775675,2.257828258000245,1.3275479097944403
Random Forest,0.41494845360824745,0.4072164948453608,0.25257731958762886,0.20544303908749734,0.2167007569953097,0.19183463893775882,1.513503669000329,0.156089414948622
KNN,0.3479381443298969,0.3479381443298969,0.15206185567010308,0.15335411311346062,0.1424126582437082,0.1132189651927066,0.028694031999748404,0.1690757371140544
CNN Model 1,0.43556701030927836,0.4329896907216495,0.25,0.1388202887537994,0.19344531391788305,0.13636210103794158,29.30960733899974,2.1180441134013743
CNN Model 2,0.5695876288659794,0.5695876288659794,0.21649484536082475,0.31361844782695886,0.2481569538811586,0.20723891540102501,36.29370146000019,9.493773077320538
